claim_text,atomic_claim,speaker,role,party,source_name,source_url,publication_date,fetched_at,claim_type,verifiability_status,fact_checkability_score,evidence_target,numeric_flag,legal_flag,comparison_flag,timeframe_present,needs_human_review,rejection_reason,status
"Abela said the election will be called when the national interest dictates","The election will be called when the national interest dictates",Robert Abela,Prime Minister,PL,Lovin Malta,https://lovinmalta.com/malta/abela-election-uncertainty/,2026-04-15,2026-04-16 12:00 UTC,rhetorical,not_checkable,1,,FALSE,FALSE,FALSE,FALSE,FALSE,lacks_measurable_content,archived_rhetoric
"Abela described Borg's Budget 2026 reply as negative rhetoric","Borg's Budget 2026 reply was negative rhetoric",Robert Abela,Prime Minister,PL,Lovin Malta,https://lovinmalta.com/news/news-politics/watch-negative-rhetoric-abela-reacts-after-alex-borg-unveils-50-budget-proposals/,2025-11-04,2026-04-16 12:00 UTC,opinion,not_checkable,1,,FALSE,FALSE,FALSE,FALSE,FALSE,character_attack,archived_rhetoric
"Borg said Abela is toying with election speculation for personal interest","Abela is calling speculation about an election for his own personal interest to retain power",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-04-12/local-news/PN-is-ready-for-a-general-election-early-or-not-Alex-Borg-says-6736288730,2026-04-12,2026-04-16 12:00 UTC,opinion,not_checkable,1,,FALSE,FALSE,FALSE,FALSE,FALSE,pure_opinion,archived_rhetoric
"Borg said more people are leaving the Labour Party and returning to the PN","More people are leaving the Labour Party and returning to the PN",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-04-12/local-news/PN-is-ready-for-a-general-election-early-or-not-Alex-Borg-says-6736288730,2026-04-12,2026-04-16 12:00 UTC,rhetorical,not_checkable,2,,FALSE,FALSE,FALSE,FALSE,FALSE,too_vague,archived_rhetoric
"Borg said Labour is no longer a socialist party","The Labour Party is no longer a socialist party",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-04-12/local-news/PN-is-ready-for-a-general-election-early-or-not-Alex-Borg-says-6736288730,2026-04-12,2026-04-16 12:00 UTC,opinion,not_checkable,1,,FALSE,FALSE,FALSE,FALSE,FALSE,pure_opinion,archived_rhetoric
"Abela said the uncertainty about the election is only in the minds of those trying to create it","The uncertainty about the election is only in the minds of those trying to create it",Robert Abela,Prime Minister,PL,Lovin Malta,https://lovinmalta.com/malta/abela-election-uncertainty/,2026-04-15,2026-04-16 12:00 UTC,rhetorical,not_checkable,1,,FALSE,FALSE,FALSE,FALSE,FALSE,lacks_measurable_content,archived_rhetoric
"Borg described Budget 2026 as forgetting people's realities","Budget 2026 forgot people's realities",Alex Borg,Leader of the Opposition,PN,MaltaToday,https://www.maltatoday.com.mt/news/budget-2026/137862/,2025-11-04,2026-04-16 12:00 UTC,opinion,not_checkable,1,,FALSE,FALSE,FALSE,FALSE,FALSE,lacks_measurable_content,archived_rhetoric
"Borg said people are tired of empty promises and want a government that cares for the whole population","People are tired of empty promises and want a government that cares for the whole population",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-04-12/local-news/PN-is-ready-for-a-general-election-early-or-not-Alex-Borg-says-6736288730,2026-04-12,2026-04-16 12:00 UTC,rhetorical,not_checkable,1,,FALSE,FALSE,FALSE,FALSE,FALSE,lacks_measurable_content,archived_rhetoric
"Abela said Labour is the only party that believes in reform progress and change","Labour is the only party that believes in reform, progress and change",Robert Abela,Prime Minister,PL,MaltaToday,https://www.maltatoday.com.mt/news/national/122429/robert_abela_and_the_wear_and_tear_of_power,2023-04-19,2026-04-16 12:00 UTC,opinion,not_checkable,1,,FALSE,FALSE,FALSE,FALSE,FALSE,pure_opinion,archived_rhetoric
"Borg said Abela is managing crisis-by-crisis","Abela is managing the country crisis by crisis",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-04-12/local-news/PN-is-ready-for-a-general-election-early-or-not-Alex-Borg-says-6736288730,2026-04-12,2026-04-16 12:00 UTC,opinion,not_checkable,1,,FALSE,FALSE,FALSE,FALSE,FALSE,pure_opinion,archived_rhetoric
"Abela said Labour thinks an election would cover up its internal crises according to Borg","Borg claimed Labour thinks calling an election would cover up its internal crises",Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-04-12/local-news/PN-is-ready-for-a-general-election-early-or-not-Alex-Borg-says-6736288730,2026-04-12,2026-04-16 12:00 UTC,opinion,not_checkable,1,,FALSE,FALSE,FALSE,FALSE,FALSE,pure_opinion,archived_rhetoric
