claim_text,atomic_claim,speaker,role,party,source_name,source_url,publication_date,fetched_at,claim_type,verifiability_status,fact_checkability_score,evidence_target,numeric_flag,legal_flag,comparison_flag,timeframe_present,needs_human_review,rejection_reason,status
The government has fulfilled 82% of its 2022 electoral manifesto commitments,The government has fulfilled 82% of its 2022 electoral manifesto commitments,Robert Abela,Prime Minister,PL,The Shift News,https://theshiftnews.com/,2026-04-10,2026-04-16 12:00 UTC,statistical,partially_checkable,3,Government self-assessment / independent manifesto tracker,TRUE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
Borg said Malta's population doubled but infrastructure did not keep pace,Malta's population doubled over a recent period while infrastructure investment did not keep pace,Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-01-11/local-news/We-must-be-a-government-in-waiting-Borg-says-as-he-maps-PN-s-road-for-2026-6736286269,2026-01-11,2026-04-16 12:00 UTC,comparative,partially_checkable,3,NSO population census / infrastructure spending data — timeframe needed,FALSE,FALSE,TRUE,FALSE,TRUE,,queued_for_review
Borg said within his first 100 days as PM works on the mass transport project will commence,A PN government would begin works on a mass transport project within its first 100 days in office,Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-04-12/local-news/PN-is-ready-for-a-general-election-early-or-not-Alex-Borg-says-6736288730,2026-04-12,2026-04-16 12:00 UTC,policy,partially_checkable,3,PN policy document — forward-looking needs costing,FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
Borg said the first mass transport line would be running within five years of a PN government,A PN government would have the first mass transport line operational within five years of taking office,Alex Borg,Leader of the Opposition,PN,The Malta Independent,https://www.independent.com.mt/articles/2026-04-12/local-news/PN-is-ready-for-a-general-election-early-or-not-Alex-Borg-says-6736288730,2026-04-12,2026-04-16 12:00 UTC,policy,partially_checkable,3,PN policy document / transport feasibility study,FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
Morningstar DBRS awarded Malta three favourable economic ratings,Morningstar DBRS awarded Malta three favourable economic ratings,Robert Abela,Prime Minister,PL,Live News Malta,http://livenewsmalta.com/,2026-04-12,2026-04-16 12:00 UTC,statistical,partially_checkable,3,Morningstar DBRS public ratings report,FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
Caruana said only once Malta becomes more productive can the government consider a four-day work week,The government will only consider introducing a four-day work week once Malta becomes more productive,Clyde Caruana,Minister for Finance and Employment,PL,MaltaToday,https://www.maltatoday.com.mt/news/interview/137933/,2025-10-28,2026-04-16 12:00 UTC,policy,partially_checkable,3,Government policy statements — no concrete timeline,FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
A government study will analyse how influx of traffic around Rabat Gozo can be handled and will be commissioned in 2026,The government will commission a study in 2026 to analyse how traffic congestion around Rabat Gozo can be managed,Clyde Caruana,Minister for Finance and Employment,PL,The Malta Independent,https://www.independent.com.mt/articles/2025-10-27/local-news/AS-IT-HAPPENED-Clyde-Caruana-delivers-Budget-2026-in-Parliament-6736284311,2025-10-27,2026-04-16 12:00 UTC,administrative,partially_checkable,3,Government procurement / tender records,FALSE,FALSE,FALSE,TRUE,TRUE,,queued_for_review
A fast ferry route linking Sliema Bugibba and Gozo will launch soon after successful Sliema jetty tests,A fast-ferry route linking Sliema Bugibba and Gozo is planned with tests already conducted at the Sliema jetty,Robert Abela,Prime Minister,PL,Live News Malta,http://livenewsmalta.com/index.php/2026/04/13/pm-robert-abela-opens-labour-congress-2026-in-gozo/,2026-04-12,2026-04-16 12:00 UTC,policy,partially_checkable,3,Transport Malta / government procurement records,FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
A new Study Hub was announced at the University of Malta's Gozo campus,A new Study Hub has been announced at the University of Malta's Gozo campus,Robert Abela,Prime Minister,PL,Live News Malta,http://livenewsmalta.com/index.php/2026/04/13/pm-robert-abela-opens-labour-congress-2026-in-gozo/,2026-04-12,2026-04-16 12:00 UTC,administrative,partially_checkable,3,Government press release / University of Malta,FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
Abela said Manoel Island and White Rocks area will be turned into national parks,Manoel Island and the White Rocks area will be turned into national parks,Robert Abela,Prime Minister,PL,MaltaToday,https://www.maltatoday.com.mt/news/budget-2026/138285/,2025-11-19,2026-04-16 12:00 UTC,policy,partially_checkable,3,Planning Authority / government press releases — timeline unclear,FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
Borg insists OPM officials reached out to hobbyist NGOs to publish statements against the PN environment bill,OPM officials and ministers pressured hobbyist NGOs to publish statements against the PN's bill to enshrine the environment in the Constitution,Alex Borg,Leader of the Opposition,PN,MaltaToday,https://www.maltatoday.com.mt/news/xtra/138180/borg_insists_opm_pressured_ngos_to_openly_criticise_pns_environment_proposal,2025-11-14,2026-04-16 12:00 UTC,administrative,partially_checkable,3,OPM communications records — requires documentary evidence,FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
Borg said COLA increase of €4.66 was not adequate for salaried workers,The €4.66 COLA increase for 2026 is not adequate for salaried workers,Alex Borg,Leader of the Opposition,PN,MaltaToday,https://www.maltatoday.com.mt/news/xtra/138180/,2025-11-14,2026-04-16 12:00 UTC,comparative,partially_checkable,3,Inflation data vs COLA amount — needs specific benchmark,TRUE,FALSE,TRUE,FALSE,TRUE,,queued_for_review
Borg said many jobs and contracts are going to companies and individuals close to power and the Labour Party,Many public contracts and jobs are being awarded to companies and individuals with Labour Party connections,Alex Borg,Leader of the Opposition,PN,Newsbook,https://newsbook.com.mt/en/pn-prepared-for-election-whenever-abela-calls-it-borg-says/,2026-01-18,2026-04-16 12:00 UTC,administrative,partially_checkable,3,Contract award records / direct order database — broad claim needs specific cases,FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
Abela said Malta's economy was not going to win the Ukraine war and questioned the utility of sending weapons,Abela stated that Ukraine was not going to win the war and questioned the utility of sending weapons to Ukraine,Robert Abela,Prime Minister,PL,MaltaToday,https://www.maltatoday.com.mt/news/national/138871/,2025-12-28,2026-04-16 12:00 UTC,administrative,partially_checkable,3,Media interviews / parliamentary statements — requires sourcing of original quote,FALSE,FALSE,FALSE,TRUE,TRUE,,queued_for_review
Borg said Labour governments deceived people on the hospitals concession on three separate occasions,"Labour governments were involved in the hospitals concession on three occasions: with Vitals Global Healthcare, Steward Healthcare, and the ICC ruling",Alex Borg,Leader of the Opposition,PN,MaltaToday,https://www.maltatoday.com.mt/news/budget-2026/138285/,2025-11-19,2026-04-16 12:00 UTC,historical,partially_checkable,3,Court records / ICC ruling / parliamentary inquiry — multi-part claim needing splitting,FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
The Tourism Accommodation Regulations 2026 introduce stricter rules across the sector for hotels and short-term rentals,The Tourism Accommodation Regulations 2026 introduce stricter rules for hotels and short-term rentals,unknown,,unknown,Lovin Malta,https://lovinmalta.com/malta/malta-tourism-regulations/,2026-04-16,2026-04-16 14:00 UTC,legal,partially_checkable,3,Tourism Accommodation Regulations 2026; comparative analysis of previous regulations,False,True,True,True,True,,queued_for_review
Micallef currently serves as an advisor to Minister Borg and previously spent over four years as his Chief of Staff across multiple ministries.,Marco Micallef previously spent over four years as Ian Borg's Chief of Staff across multiple ministries.,unknown,,unknown,Lovin Malta,https://lovinmalta.com/malta/marco-micallef-us-ambassador/,2026-04-20,2026-04-20 21:31 UTC,historical,partially_checkable,3,"Government Gazette appointment notices, parliamentary questions on ministerial staff, or official ministry records covering Ian Borg's tenures (Infrastructure, Foreign Affairs, etc.); Lovin Malta or Times of Malta archival reporting on ministerial appointments.",TRUE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
Delia said he received threatening messages from Debono shortly after participating in the parliamentary nominations committee hearing that reviewed Camilleri's appointment as Malta's non-resident ambassador to Liechtenstein.,Adrian Delia received threatening messages from Anthony Debono shortly after the parliamentary nominations committee hearing reviewing Roseanne Camilleri's appointment as Malta's non-resident ambassador to Liechtenstein.,Adrian Delia,PN MP,PN,The Shift News,https://theshiftnews.com/2026/04/20/delia-reports-threats-and-intimidation-by-ambassador-nominees-partner/,2026-04-20,2026-04-20 21:32 UTC,historical,partially_checkable,3,"Parliamentary committee hearing records (nominations committee), any police reports filed by Adrian Delia regarding threatening messages, The Shift News reporting and corroborating sources, court or magisterial inquiry records if charges were filed",FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
the messages made clear Debono objected to his interventions during the hearing and warned he would act to ensure Delia would not contest the next general election,Anthony Debono's messages to Adrian Delia warned that he would act to ensure Delia would not contest the next general election.,Adrian Delia,PN MP,PN,The Shift News,https://theshiftnews.com/2026/04/20/delia-reports-threats-and-intimidation-by-ambassador-nominees-partner/,2026-04-20,2026-04-20 21:32 UTC,historical,partially_checkable,3,The Shift News reporting; court records or parliamentary proceedings if messages were submitted as evidence; direct testimony from Anthony Debono or Adrian Delia,FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
"Delia challenged Camilleri over her role in the projects and questioned her suitability for a diplomatic appointment, citing her lack of diplomatic experience and unresolved concerns surrounding her management record.",Adrian Delia cited Roseanne Camilleri's lack of diplomatic experience as a reason she is unsuitable for the ambassadorial appointment.,Adrian Delia,PN MP,PN,The Shift News,https://theshiftnews.com/2026/04/20/delia-reports-threats-and-intimidation-by-ambassador-nominees-partner/,2026-04-20,2026-04-20 21:32 UTC,rhetorical,partially_checkable,2,Parliamentary Hansard or media transcripts of Adrian Delia's statements; Roseanne Camilleri's official CV or public biography for diplomatic experience verification,FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
Camilleri has denied wrongdoing and previously told The Shift she had been cleared.,Roseanne Camilleri has stated that she was cleared of wrongdoing related to procurement irregularities during her time overseeing Primary Health Care.,unknown,Ambassadorial nominee,unknown,The Shift News,https://theshiftnews.com/2026/04/20/delia-reports-threats-and-intimidation-by-ambassador-nominees-partner/,2026-04-20,2026-04-20 21:32 UTC,legal,partially_checkable,3,"Parliamentary records, Internal Audit and Investigations Department (IAID) reports, Health Ministry procurement audit documents, or any published inquiry findings related to Primary Health Care procurement irregularities involving Roseanne Camilleri",FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
The Prime Minister's consistent refusal to rule out a snap election whenever anyone asks about it,Prime Minister Robert Abela has consistently refused to rule out a snap election when asked about it.,Robert Abela,Prime Minister,PL,The Shift News,https://theshiftnews.com/2026/04/20/definitely-much-better-if-we-had-a-clear-yes-or-no-chamber-of-commerce-on-electoral-uncertainty/,2026-04-20,2026-04-20 21:32 UTC,rhetorical,partially_checkable,2,"Archived press conferences, parliamentary records, and media transcripts where Abela was asked about a snap election",FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
I have had enough of the University making excuses,Clyde Caruana publicly stated he has had enough of the University of Malta making excuses.,Clyde Caruana,Minister for Finance and Employment,PL,The Shift News,https://theshiftnews.com/2026/04/18/tearing-into-the-university/,2026-04-18,2026-04-20 21:32 UTC,rhetorical,partially_checkable,2,The Shift News article or official video/transcript of Clyde Caruana's statement; Hansard or public press conference recording,FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
They should pull up their socks and roll up their sleeves and generate income,Clyde Caruana told a live audience that the University of Malta should generate its own income.,Clyde Caruana,Minister for Finance and Employment,PL,The Shift News,https://theshiftnews.com/2026/04/18/tearing-into-the-university/,2026-04-18,2026-04-20 21:32 UTC,rhetorical,partially_checkable,2,Recording or transcript of the live event where Clyde Caruana addressed the University of Malta audience; The Shift News article/report of the event.,FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
Robert Abela claimed as a victory for him and his government,Robert Abela claimed the International Chamber of Commerce tribunal's final opinion as a victory for him and his government.,Robert Abela,Prime Minister,PL,The Shift News,https://theshiftnews.com/2026/04/18/tearing-into-the-university/,2026-04-18,2026-04-20 21:32 UTC,rhetorical,partially_checkable,2,ICC tribunal published ruling or official government statement/press conference records,FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
"Labour promised that AUM would attract 4000 students, that it would create 750 jobs, and that it would revitalise the economy of the South",The Labour government promised that the American University of Malta would revitalise the economy of the South of Malta.,unknown,,PL,The Shift News,https://theshiftnews.com/2026/04/18/tearing-into-the-university/,2026-04-18,2026-04-20 21:32 UTC,historical,partially_checkable,3,"Parliamentary debates, government press releases, and AUM concession agreement published in the Government Gazette; Hansard records of ministerial statements regarding AUM and southern Malta economic development.",FALSE,FALSE,FALSE,FALSE,TRUE,,queued_for_review
Refalo says he began leasing the villa from the Italian woman from Brescia in 2002,Minister Anton Refalo claims he began leasing the Qala villa from the Italian woman from Brescia in 2002.,Anton Refalo,"Minister (Gozo), PL",PL,The Shift News,https://theshiftnews.com/2026/04/18/mystery-over-refalos-mafia-villa-deepens-as-key-questions-remain-unanswered/,2026-04-18,2026-04-20 21:32 UTC,historical,partially_checkable,3,Land Registry / public records office for lease agreements; Companies House or notarial deed archives in Malta for any registered lease dating to 2002; investigative cross-reference with the Italian landlord's identity via Brescia municipal records.,FALSE,FALSE,FALSE,TRUE,TRUE,,queued_for_review
Refalo now says that the lease expired in 2018,Minister Anton Refalo has stated that his lease on the Qala villa expired in 2018.,Anton Refalo,"Minister (Gozo), PL",PL,The Shift News,https://theshiftnews.com/2026/04/18/mystery-over-refalos-mafia-villa-deepens-as-key-questions-remain-unanswered/,2026-04-18,2026-04-20 21:32 UTC,administrative,partially_checkable,3,Lands Authority lease records; Government Gazette; parliamentary asset declarations by Anton Refalo,FALSE,FALSE,FALSE,TRUE,TRUE,,queued_for_review
