claim_text,atomic_claim,speaker,role,party,source_name,source_url,publication_date,fetched_at
Dutch NGO Women on Waves has placed abortion pills in locked safes at multiple locations across Malta and Gozo.,Dutch NGO Women on Waves has placed abortion pills in locked safes at multiple locations across Malta and Gozo.,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/police-to-be-asked-to-investigate-abortion-pills-hidden-in-safes/,2026-04-21,2026-04-21 09:27 UTC
Women on Waves says it has hidden 15 safes as part of a campaign to raise awareness about women's rights.,Women on Waves says it has hidden 15 safes across Malta and Gozo as part of a campaign to raise awareness about women's rights.,Women on Waves,NGO,unknown,Newsbook,https://newsbook.com.mt/en/police-to-be-asked-to-investigate-abortion-pills-hidden-in-safes/,2026-04-21,2026-04-21 09:27 UTC
Each safe contains two types of pills intended to end a pregnancy.,Each safe placed by Women on Waves contains two types of pills intended to end a pregnancy.,Women on Waves,NGO,unknown,Newsbook,https://newsbook.com.mt/en/police-to-be-asked-to-investigate-abortion-pills-hidden-in-safes/,2026-04-21,2026-04-21 09:27 UTC
Women on Waves says it will provide the location and code to pregnant women of under nine weeks who contact them.,Women on Waves says it will provide the safe location and access code to pregnant women who are under nine weeks gestation and who contact the organisation.,Women on Waves,NGO,unknown,Newsbook,https://newsbook.com.mt/en/police-to-be-asked-to-investigate-abortion-pills-hidden-in-safes/,2026-04-21,2026-04-21 09:27 UTC
"Miriam Sciberras, CEO of the Life Network Foundation, confirmed that her organisation is preparing a formal complaint requesting police investigation.",The Life Network Foundation is preparing a formal complaint requesting that police investigate the Women on Waves safe initiative in Malta.,Miriam Sciberras,"CEO, Life Network Foundation",unknown,Newsbook,https://newsbook.com.mt/en/police-to-be-asked-to-investigate-abortion-pills-hidden-in-safes/,2026-04-21,2026-04-21 09:27 UTC
The importation of abortion pills into Malta is illegal.,The importation of abortion pills into Malta is illegal.,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/police-to-be-asked-to-investigate-abortion-pills-hidden-in-safes/,2026-04-21,2026-04-21 09:27 UTC
Adrian Delia raised a breach of privilege complaint on Monday after receiving what he described as threatening messages from the partner of Roseanne Camilleri.,Adrian Delia raised a breach of privilege complaint in Parliament after receiving threatening messages from the partner of Roseanne Camilleri.,Adrian Delia,Nationalist Party MP,PN,Newsbook,https://newsbook.com.mt/en/delia-claims-breach-of-privilege-after-threatening-messages-from-ambassador-nominees-partner/,2026-04-20,2026-04-21 09:27 UTC
Roseanne Camilleri appeared before the Public Appointments Committee last Wednesday as a nominee for the role of non-resident ambassador to Liechtenstein.,Roseanne Camilleri appeared before the Public Appointments Committee as a nominee for the role of non-resident ambassador to Liechtenstein.,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/delia-claims-breach-of-privilege-after-threatening-messages-from-ambassador-nominees-partner/,2026-04-20,2026-04-21 09:27 UTC
One of the messages read: 'Even the devil can quote scripture.',One of the threatening messages Adrian Delia received read: 'Even the devil can quote scripture.',Adrian Delia,Nationalist Party MP,PN,Newsbook,https://newsbook.com.mt/en/delia-claims-breach-of-privilege-after-threatening-messages-from-ambassador-nominees-partner/,2026-04-20,2026-04-21 09:27 UTC
"Delia questioned Camilleri extensively over reports of cost overruns relating to the refurbishment of health centres in Birkirkara and Qormi, which occurred during her tenure as CEO of Primary Health Care.",There were reports of cost overruns relating to the refurbishment of health centres in Birkirkara and Qormi during Roseanne Camilleri's tenure as CEO of Primary Health Care.,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/delia-claims-breach-of-privilege-after-threatening-messages-from-ambassador-nominees-partner/,2026-04-20,2026-04-21 09:27 UTC
