claim_text,atomic_claim,speaker,role,party,source_name,source_url,publication_date,fetched_at,claim_type,verifiability_status,fact_checkability_score,evidence_target,numeric_flag,legal_flag,comparison_flag,timeframe_present,needs_human_review,rejection_reason,status
"Abela cited a record €9.3 billion national budget","Malta's national budget for 2026 is €9.3 billion",Robert Abela,Prime Minister,PL,Newsbook,https://newsbook.com.mt/en/robert-abela-i-decide-the-election-date/,2026-04-06,2026-04-16 12:00 UTC,statistical,checkable,5,Budget 2026 document,TRUE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Abela claimed Malta's growth outpaced Germany's tenfold last year","Malta's economic growth rate in 2025 was ten times that of Germany",Robert Abela,Prime Minister,PL,Newsbook,https://newsbook.com.mt/en/robert-abela-i-decide-the-election-date/,2026-04-06,2026-04-16 12:00 UTC,comparative,checkable,5,Eurostat GDP growth data,FALSE,FALSE,TRUE,TRUE,FALSE,,approved_for_check
"Abela said Malta received an IMF A-plus economic rating","Malta received an IMF A-plus economic rating",Robert Abela,Prime Minister,PL,Newsbook,https://newsbook.com.mt/en/robert-abela-i-decide-the-election-date/,2026-04-06,2026-04-16 12:00 UTC,statistical,checkable,5,IMF country report,FALSE,FALSE,FALSE,TRUE,FALSE,,approved_for_check
"Abela announced a legal notice removing income tax on additional pension income above the maximum pension threshold","A legal notice has been issued removing income tax on additional pension income above the maximum pension threshold",Robert Abela,Prime Minister,PL,Newsbook,https://newsbook.com.mt/en/robert-abela-i-decide-the-election-date/,2026-04-06,2026-04-16 12:00 UTC,legal,checkable,5,Malta Government Gazette,FALSE,TRUE,FALSE,FALSE,FALSE,,approved_for_check
"A bill tabled in parliament would allow the government to appoint the Chief Justice unilaterally if two-thirds parliamentary consensus is not reached","A bill tabled in parliament would allow the government to appoint the Chief Justice unilaterally if two-thirds consensus is not reached",Robert Abela,Prime Minister,PL,Newsbook,https://newsbook.com.mt/en/robert-abela-i-decide-the-election-date/,2026-04-06,2026-04-16 12:00 UTC,legal,checkable,5,Parliamentary bill text,FALSE,TRUE,FALSE,FALSE,FALSE,,approved_for_check
"Labour Party statute requires a congress before a general election","The Labour Party statute requires a congress to be held before a general election to outline manifesto guidelines",Alex Agius Saliba,Labour Deputy Leader,PL,Lovin Malta,https://lovinmalta.com/news/local/labour-announces-six-day-congress-to-outline-election-manifesto/,2026-04-09,2026-04-16 12:00 UTC,legal,checkable,5,Labour Party statute,FALSE,TRUE,FALSE,FALSE,FALSE,,approved_for_check
"Gozo's economy now exceeds €1 billion","Gozo's economy now exceeds €1 billion",Robert Abela,Prime Minister,PL,Live News Malta,http://livenewsmalta.com/index.php/2026/04/13/pm-robert-abela-opens-labour-congress-2026-in-gozo/,2026-04-12,2026-04-16 12:00 UTC,statistical,checkable,5,NSO regional economic statistics,TRUE,FALSE,FALSE,FALSE,FALSE,,approved_for_check
"Gozo's economy is triple what it was in 2013","Gozo's economy in 2026 is triple what it was in 2013",Robert Abela,Prime Minister,PL,Live News Malta,http://livenewsmalta.com/index.php/2026/04/13/pm-robert-abela-opens-labour-congress-2026-in-gozo/,2026-04-12,2026-04-16 12:00 UTC,comparative,checkable,5,NSO regional economic statistics,FALSE,FALSE,TRUE,TRUE,FALSE,,approved_for_check
"Abela said without government fuel subsidies fuel would be up to 45% more expensive","Without government fuel subsidies fuel prices in Malta would be up to 45% higher",Robert Abela,Prime Minister,PL,The Malta Independent,https://www.independent.com.mt/articles/2026-04-12/local-news/The-four-factors-which-may-be-pushing-Robert-Abela-into-calling-an-early-election-6736288690,2026-04-12,2026-04-16 12:00 UTC,statistical,checkable,4,Government subsidy data / energy regulator,TRUE,FALSE,TRUE,FALSE,FALSE,,approved_for_check
"The environment ministry received €275 million in Budget 2026 — the highest of any ministry","The environment ministry received €275 million in Budget 2026 — the highest allocation of any ministry",Robert Abela,Prime Minister,PL,MaltaToday,https://www.maltatoday.com.mt/news/budget-2026/138285/abela_wants_malta_to_become_most_aifriendly_country_in_europe_,2025-11-19,2026-04-16 12:00 UTC,statistical,checkable,5,Budget 2026 document,TRUE,FALSE,TRUE,TRUE,FALSE,,approved_for_check
